x,x_dot,theta,theta_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
-3.297759632884361930e-04,-1.001181336712411371e-02,5.389213556696065971e-02,6.182517631237445244e-01
-2.786927842260720177e-03,-4.379721097435308741e-02,1.331439389494415149e-01,1.024681481184694487e+00
-1.020914486592436332e-02,-1.109185374600377832e-01,2.737445099445480756e-01,1.881107433153235586e+00
-2.599106621574035283e-02,-2.054555388533816362e-01,5.321061341263786382e-01,3.412048407478118328e+00
-4.887017795826036071e-02,-2.196318431435818064e-01,9.799861807487051379e-01,5.643860107983416974e+00
-5.778738104960645661e-02,1.318396892704166712e-01,1.681327232938086835e+00,8.538230815668011786e+00
-1.077682714433798525e-03,1.058784530748511088e+00,2.742557972668689281e+00,1.286110375417693774e+01
1.014443455703890884e-01,6.312386142234517328e-01,4.015156507055289481e+00,1.095396370039793332e+01
1.224375919553334496e-01,-9.356669419330229664e-02,4.906585223252228012e+00,7.190196021260774728e+00
1.021116007730517028e-01,-2.456804129719891427e-01,5.489448251986084770e+00,4.558116014568160068e+00
8.106490299080168493e-02,-1.598063526434360671e-01,5.835843309640137200e+00,2.472604157566782312e+00
7.071269132756370646e-02,-5.046388575421153350e-02,6.005337516225671912e+00,1.009612429493511376e+00
7.026309867103981699e-02,3.930914114326899272e-02,6.050428041223716136e+00,-7.780913295300728727e-02
7.858556142671935252e-02,1.292908421452265699e-01,5.988924531840262411e+00,-1.190542047777366941e+00
9.672962686673397537e-02,2.353151066075926945e-01,5.798227511157683978e+00,-2.720214102472450879e+00
1.244221394961390476e-01,2.976046426020392821e-01,5.423581064164922694e+00,-4.870909080720976725e+00
1.471444376971685064e-01,8.276230659583028171e-02,4.806277615340031062e+00,-7.581809322689353259e+00
1.207946858279419500e-01,-7.180325296410696723e-01,3.864580482408366269e+00,-1.157021794368827727e+01
2.190352272151142171e-02,-8.447414810153419662e-01,2.582991240299754576e+00,-1.216845037519514960e+01
-1.402839573401219557e-02,3.100861915219495224e-02,1.591112181082808164e+00,-7.955591629147618526e+00
6.629224023304459458e-03,2.988738811599226941e-01,9.437658593357922676e-01,-5.109412891221844610e+00
3.500742091140224971e-02,2.414395524467311815e-01,5.528834616530934332e-01,-2.790954179698163173e+00
5.289625095585680919e-02,1.159060825364567060e-01,3.671356989955301686e-01,-1.007541786832931940e+00
5.850616459718104706e-02,-2.729858141433517613e-03,3.405978440773984040e-01,4.608087071847334348e-01
5.224608480395141058e-02,-1.234409245677813571e-01,4.641821558929367098e-01,2.072346010367293268e+00
3.447609999071839931e-02,-2.186291280301119189e-01,7.721108451239037107e-01,4.177899163108879321e+00
1.526515362481164519e-02,-1.058005997131966219e-01,1.316279054067227339e+00,6.787312862672164826e+00
3.099933889420575239e-02,5.324252358490788595e-01,2.160237110738356225e+00,1.036757322933587844e+01
1.268186539221228815e-01,1.105041657037971747e+00,3.393102914349078070e+00,1.301293543436802658e+01
1.908216246834281982e-01,1.871030753085466680e-01,4.481136889252218758e+00,8.730094173809144209e+00
1.850047672512845076e-01,-2.065754592997781081e-01,5.191569955777196377e+00,5.642967039515371930e+00
1.629813311275985777e-01,-1.946325995215918425e-01,5.627874296175689572e+00,3.151983706689691189e+00
1.497494724620647144e-01,-6.518054888501047250e-02,5.837683614696940637e+00,1.120192065112216362e+00
1.500221452128274457e-01,7.006604645983682822e-02,5.861955814432874057e+00,-6.218324289813396133e-01
1.636805079890667203e-01,2.009948089571401697e-01,5.707765442893011354e+00,-2.524235435180679055e+00
1.881161835181901776e-01,2.618626699759571408e-01,5.341596402142100075e+00,-4.874381188965779543e+00
2.059722644177686690e-01,1.685794804017777190e-02,4.717569173901154045e+00,-7.714933106701314713e+00
1.710539938395090054e-01,-8.108930945512635713e-01,3.754430074058696665e+00,-1.182775083549169359e+01
7.223676729008098041e-02,-7.578698928223377429e-01,2.488693706238339853e+00,-1.160911045467625868e+01
4.218533874914674048e-02,5.268264697130961571e-02,1.546245291262520194e+00,-7.533689168118321788e+00
6.220778461210879628e-02,2.706283464284267581e-01,9.402449391211031848e-01,-4.682934083457238827e+00
8.653111011551145593e-02,1.912803799858836806e-01,5.961046846006624600e-01,-2.266778796195861645e+00
9.849968692466259945e-02,4.622486893507699035e-02,4.736880536976937894e-01,-2.286325856173535565e-01
9.580697681089148099e-02,-9.873336834473597778e-02,5.482510680441696760e-01,1.748469357839612659e+00
7.997204543624916728e-02,-2.016628288895972454e-01,8.347732230432570733e-01,4.050736081912359232e+00
6.275720808673702911e-02,-8.073918238698443717e-02,1.371740645319274199e+00,6.763095520925419102e+00
8.172467274680880744e-02,5.702340772720522200e-01,2.217901150758354589e+00,1.043151480024169331e+01
1.782073059840543483e-01,1.056899654396894039e+00,3.444888663576059162e+00,1.270751691464318611e+01
2.376039257282240580e-01,1.612645306384276889e-01,4.500234041864223933e+00,8.441156303516251569e+00
2.311233395203649288e-01,-1.978547864022064673e-01,5.182488162983719171e+00,5.349298916590970343e+00
2.108949357135899982e-01,-1.692945288937026949e-01,5.585673323486787467e+00,2.770733467565963615e+00
2.008773233933942304e-01,-2.536334892756796078e-02,5.748521673836031631e+00,5.358961917126392471e-01
2.060305784646969118e-01,1.267698199607236453e-01,5.696782183455008308e+00,-1.587599133377785687e+00
2.248530166533651009e-01,2.324367151632444339e-01,5.421841245448077551e+00,-3.970598636237349766e+00
2.450915002032981460e-01,1.100378809710563094e-01,4.890624312971511678e+00,-6.724821702963770242e+00
2.289739174483033379e-01,-5.413731516287886292e-01,4.046759312760529248e+00,-1.041915257126197147e+01
1.365096939168884693e-01,-1.001818818240406861e+00,2.825328483298176430e+00,-1.258450847848871135e+01
8.218928165868116809e-02,-1.185512890125645091e-01,1.781825696701768491e+00,-8.335998527240683131e+00
9.229620945241984176e-02,2.289859335380055039e-01,1.110316477647159239e+00,-5.232780885320344133e+00
