PS C:\Users\isikm> & C:/ProgramData/Anaconda3/python.exe "g:/Drive'ım/Okul/2024C-GÜZ/KON492 Bitirme Tasarım Projesi/pendulum_yeni.py"
2024-09-24 14:12:03.695201: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:05.510030: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:11.790020: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
episode: 0/1000, score: -9.133812331403385, epsilon: 1.0, done: False
episode: 1/1000, score: -3.9599917551497503, epsilon: 0.995, done: False
episode: 2/1000, score: 9.067772688121567, epsilon: 0.990025, done: False
episode: 3/1000, score: -11.382046695719167, epsilon: 0.985074875, done: False
episode: 4/1000, score: 6.073190132887479, epsilon: 0.9801495006250001, done: False
episode: 5/1000, score: 13.336138701465028, epsilon: 0.9752487531218751, done: False
episode: 6/1000, score: 2.6285396068497953, epsilon: 0.9703725093562657, done: False
episode: 7/1000, score: -2.45581780678332, epsilon: 0.9655206468094844, done: False
episode: 8/1000, score: 1.4969950585726006, epsilon: 0.960693043575437, done: False
episode: 9/1000, score: 12.01125448901952, epsilon: 0.9558895783575597, done: False
episode: 10/1000, score: 0.6096092746769761, epsilon: 0.9511101304657719, done: False
episode: 11/1000, score: -9.928751154827822, epsilon: 0.946354579813443, done: False
episode: 12/1000, score: 11.959596574057375, epsilon: 0.9416228069143757, done: False
episode: 13/1000, score: -23.481399138974467, epsilon: 0.9369146928798039, done: False
episode: 14/1000, score: 1.5669877823912925, epsilon: 0.9322301194154049, done: False
episode: 15/1000, score: 14.839780648775967, epsilon: 0.9275689688183278, done: False
episode: 16/1000, score: 0.010470385179208341, epsilon: 0.9229311239742362, done: False
episode: 17/1000, score: -6.742724869225963, epsilon: 0.918316468354365, done: False
episode: 18/1000, score: -0.2997184792460713, epsilon: 0.9137248860125932, done: False
episode: 19/1000, score: -10.215931083692015, epsilon: 0.9091562615825302, done: False
episode: 20/1000, score: -4.313310454263502, epsilon: 0.9046104802746175, done: False
episode: 21/1000, score: 3.994945689767202, epsilon: 0.9000874278732445, done: False
episode: 22/1000, score: 15.0091611554764, epsilon: 0.8955869907338783, done: False
episode: 23/1000, score: -3.4718541831023746, epsilon: 0.8911090557802088, done: False
episode: 24/1000, score: -15.549998430184392, epsilon: 0.8866535105013078, done: False
episode: 25/1000, score: 2.14411496466075, epsilon: 0.8822202429488013, done: False
episode: 26/1000, score: 2.8624357499185638, epsilon: 0.8778091417340573, done: False
episode: 27/1000, score: -26.148455745923215, epsilon: 0.8734200960253871, done: False
episode: 28/1000, score: -1.222574011613609, epsilon: 0.8690529955452602, done: False
episode: 29/1000, score: 17.589416586254753, epsilon: 0.8647077305675338, done: False
episode: 30/1000, score: -0.6388363700707619, epsilon: 0.8603841919146962, done: False
episode: 31/1000, score: 4.1836313017250095, epsilon: 0.8560822709551227, done: False
episode: 32/1000, score: 8.115630782327177, epsilon: 0.851801859600347, done: False
episode: 33/1000, score: 8.321918290395056, epsilon: 0.8475428503023453, done: False
episode: 34/1000, score: 30.592977318258452, epsilon: 0.8433051360508336, done: False
episode: 35/1000, score: -5.206197909985682, epsilon: 0.8390886103705794, done: False
episode: 36/1000, score: 4.155361709892819, epsilon: 0.8348931673187264, done: False
episode: 37/1000, score: -17.64867936398905, epsilon: 0.8307187014821328, done: False
episode: 38/1000, score: -1.5693271398937356, epsilon: 0.8265651079747222, done: False
episode: 39/1000, score: -4.713671294309917, epsilon: 0.8224322824348486, done: False
episode: 40/1000, score: 12.51424898397822, epsilon: 0.8183201210226743, done: False
episode: 41/1000, score: 7.833257649617348, epsilon: 0.8142285204175609, done: False
episode: 42/1000, score: -0.2756303919071418, epsilon: 0.810157377815473, done: False
episode: 43/1000, score: 8.735608306852809, epsilon: 0.8061065909263957, done: False
episode: 44/1000, score: -13.279026358896884, epsilon: 0.8020760579717637, done: False
episode: 45/1000, score: -16.66327103315028, epsilon: 0.798065677681905, done: False
episode: 46/1000, score: -6.58790906062698, epsilon: 0.7940753492934954, done: False
episode: 47/1000, score: 25.09218125656263, epsilon: 0.7901049725470279, done: False
episode: 48/1000, score: -9.131182716357232, epsilon: 0.7861544476842928, done: False
episode: 49/1000, score: -11.700274018674445, epsilon: 0.7822236754458713, done: False
episode: 50/1000, score: 6.638198068347252, epsilon: 0.778312557068642, done: False
episode: 51/1000, score: -5.683387188287929, epsilon: 0.7744209942832988, done: False
episode: 52/1000, score: -0.6977317133390534, epsilon: 0.7705488893118823, done: False
episode: 53/1000, score: -1.2134834882169074, epsilon: 0.7666961448653229, done: True
episode: 54/1000, score: 0.7894024353135949, epsilon: 0.7628626641409962, done: True
